App_ID,App_Name,Migration_Phase,Owner_Team,NFR_Category,NFR_Requirement,Target_Metric,Dependency,Validation_Method,Priority
APP-012,Inventory Optimisation Engine,Dependent,Supply Chain Technology,Accuracy,Optimisation recommendations within 3% of on-prem,±3% variance,Model validation against historical,A/B comparison with on-prem results,High
APP-013,Quality Management System,Dependent,Product Technology,Availability,99.5% uptime,99.5%,ECS; RDS Multi-AZ,Basic uptime monitoring,Medium
APP-013,Quality Management System,Dependent,Product Technology,Compliance,GxP/FDA 21 CFR Part 11 audit trail,Full audit trail,CloudTrail; application-level audit logging,Compliance audit,High
APP-014,Procurement & Sourcing Portal,Dependent,Procurement Technology,Availability,99.5% uptime,99.5%,ECS; DocumentDB replica set,Health checks,Medium
APP-014,Procurement & Sourcing Portal,Dependent,Procurement Technology,Security,Supplier data isolation; OAuth 2.0 enforcement,Zero cross-tenant access,Cognito; row-level security; VPC isolation,Penetration test,High
APP-016,Store Operations Dashboard,Dependent,Digital Products,Performance,Real-time dashboard refresh < 3s,<3s refresh,WebSocket on API Gateway; ElastiCache,Real-time latency monitoring,Medium
APP-016,Store Operations Dashboard,Dependent,Digital Products,Availability,99.5% uptime,99.5%,ECS; RDS Multi-AZ,Synthetic monitoring,Low
APP-020,Pricing & Markdown Optimisation,Dependent,Finance Technology,Performance,Price calculation < 200ms p95,<200ms p95,EKS HPA; OpenSearch tuning; Redis caching,Load test with full product catalogue,High
APP-020,Pricing & Markdown Optimisation,Dependent,Finance Technology,Scalability,Handle full catalogue repricing in < 1 hour,<1h full reprice,EKS auto-scaling; parallel processing,Timed full-catalogue reprice,High
APP-020,Pricing & Markdown Optimisation,Dependent,Finance Technology,Accuracy,Pricing model accuracy within 1% of on-prem,±1% variance,Model validation; A/B testing,Shadow mode comparison,Critical
APP-004,Warehouse Management System,Legacy/Modernise,Supply Chain Technology,Availability,99.9% uptime post-refactor,99.9%,ECS multi-AZ; RDS Multi-AZ,Post-refactor uptime monitoring,High
APP-004,Warehouse Management System,Legacy/Modernise,Supply Chain Technology,Performance,Order processing < 500ms p95 post-refactor,<500ms p95,Spring Boot optimised; connection pooling,Load test post-refactor,High
APP-004,Warehouse Management System,Legacy/Modernise,Supply Chain Technology,Compatibility,All EDI partners validated post-migration,100% EDI partner connectivity,AWS Transfer Family for SFTP/FTP; B2B gateway,End-to-end EDI transaction test with all partners,Critical
APP-004,Warehouse Management System,Legacy/Modernise,Supply Chain Technology,Migration Risk,Zero downtime cutover (max 4h maintenance window),<4h cutover,Blue-green deployment; database sync,Cutover rehearsal,Critical
APP-009,Transportation Management System,Legacy/Modernise,Supply Chain Technology,Availability,99.5% uptime (replacement system),99.5%,Depends on replacement architecture,Post-replacement monitoring,Medium
APP-009,Transportation Management System,Legacy/Modernise,Supply Chain Technology,Data Migration,100% historical shipment data preserved,0 data loss,DMS + custom ETL for legacy formats,Data reconciliation pre/post,High
APP-015,Manufacturing Execution System,Legacy/Modernise,Manufacturing Technology,Availability,99.9% uptime post-replatform,99.9%,ECS; RDS SQL Server Multi-AZ,Post-replatform monitoring,High
APP-015,Manufacturing Execution System,Legacy/Modernise,Manufacturing Technology,Performance,Shop floor transaction < 1s,<1s response,Optimised .NET 8; SQS async processing,Performance test with simulated shop floor load,High
APP-015,Manufacturing Execution System,Legacy/Modernise,Manufacturing Technology,Compatibility,All COM+/DCOM interfaces replaced with REST/gRPC,100% interface coverage,API gateway; service mesh,Interface mapping validation,Critical
APP-017,HR & Workforce Platform,Legacy/Modernise,HR Technology,Availability,99.9% (SaaS provider SLA),99.9%,SaaS provider infrastructure,SLA monitoring,Medium
APP-017,HR & Workforce Platform,Legacy/Modernise,HR Technology,Data Migration,All employee records migrated accurately,100% record accuracy,SaaS migration tooling; validation scripts,Record-by-record comparison,Critical
APP-017,HR & Workforce Platform,Legacy/Modernise,HR Technology,Security,GDPR compliance for employee PII,Full GDPR compliance,Encryption; access controls; right to erasure,GDPR audit,Critical
APP-018,Document Management & Compliance,Legacy/Modernise,Operations Technology,Data Migration,All compliance documents archived with metadata,100% document preservation,S3 + metadata in DynamoDB/OpenSearch,Document count + metadata validation,High
APP-018,Document Management & Compliance,Legacy/Modernise,Operations Technology,Compliance,Retention policies enforced (7-year minimum),7yr retention,S3 Glacier; lifecycle policies; Object Lock,Policy audit,High
APP-018,Document Management & Compliance,Legacy/Modernise,Operations Technology,Availability,99% (archive access),99%,S3 durability (11 9s); Glacier retrieval SLA,Retrieval time test,Low
